time,position_x,position_y,position_z,speed_ms,speed_kmh,forward_speed,sideways_speed,acceleration_ms2,yaw,yaw_rate,raw_steer_x,raw_throttle_y,raw_brake_z,steer_input,handlebar_angle,steer_rate,throttle,brake,is_grounded,harsh_brake,harsh_steer,high_side_slip,high_yaw_rate,risk_score
0.1040,185.1873,0.1725,102.8923,0.5146,1.8526,0.5146,0.0000,4.9477,270.0000,0.0000,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.6813,0.0000,1,0,0,0,0,0.0000
0.1649,185.1430,0.0919,102.8923,0.6100,2.1961,0.6100,0.0034,1.5672,269.9969,-0.0511,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.8441,0.0000,1,0,0,0,0,0.0874
0.2288,185.1420,0.0864,102.8920,0.0031,0.0112,0.0028,0.0013,-9.4900,269.9846,-0.1918,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9339,0.0000,1,0,0,0,0,0.0107
0.2831,185.1411,0.0864,102.8918,0.0324,0.1168,0.0324,0.0012,0.5401,269.9795,-0.0944,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9676,0.0000,1,0,0,0,0,0.0052
0.3381,185.1381,0.0864,102.8917,0.0784,0.2822,0.0784,0.0015,0.8362,269.9750,-0.0811,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9842,0.0000,1,0,0,0,0,0.0045
0.3948,185.1322,0.0864,102.8915,0.1323,0.4761,0.1322,0.0018,0.9500,269.9706,-0.0786,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9923,0.0000,1,0,0,0,0,0.0044
0.4504,185.1232,0.0864,102.8913,0.1900,0.6841,0.1900,0.0020,1.0388,269.9662,-0.0779,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9962,0.0000,1,0,0,0,0,0.0043
0.5062,185.1109,0.0864,102.8912,0.2496,0.8987,0.2496,0.0023,1.0689,269.9619,-0.0788,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9981,0.0000,1,0,0,0,0,0.0044
0.5617,185.0953,0.0864,102.8909,0.3103,1.1171,0.3103,0.0026,1.0931,269.9576,-0.0770,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9991,0.0000,1,0,0,0,0,0.0043
0.6176,185.0761,0.0864,102.8907,0.3713,1.3367,0.3713,0.0028,1.0903,269.9532,-0.0785,-0.0049,0.9472,0.3255,0.0000,0.0000,0.0000,0.9996,0.0000,1,0,0,0,0,0.0044
